s1	3	239328
e2	3	239611
s3	3	361402
e4	3	361604
s5	3	367593
e6	3	367795
s7	3	369821
e8	3	370063
s9	3	382415
e10	3	382657
s11	3	383527
e12	3	383799
s13	3	384588
e14	3	384790
s15	3	386209
e16	3	386451
s17	3	391031
e18	3	391253
s19	3	396236
e20	3	396508
s21	3	401914
e22	3	402156
s23	3	403323
e24	3	403525
s25	3	404860
e26	3	405102
s27	3	407593
e28	3	407835
s29	3	417986
e30	3	418188
s31	3	419440
e32	3	419682
s33	3	423796
e34	3	423997
s35	3	424103
e36	3	424375
s37	3	425431
e38	3	425633
s39	3	430924
e40	3	431194
s41	3	432319
e42	3	432561
s43	3	432617
e44	3	432859
s45	3	433298
e46	3	433538
s47	3	436343
e48	3	436585
s49	3	439866
e50	3	440108
s51	3	440643
e52	3	440885
s53	3	443242
e54	3	443444
s55	3	447163
e56	3	447405
s57	3	754874
e58	3	755076
s59	3	764654
e60	3	764856
s61	3	791856
e62	3	792057
s63	3	1134414
e64	3	1134615
s65	3	1189617
e66	3	1189819
s67	3	1214843
e68	3	1215045
s69	3	1262311
e70	3	1262553
s71	3	1269467
e72	3	1269709
s73	3	1320042
e74	3	1320244
s75	3	1337270
e76	3	1337506
s77	3	1339505
e78	3	1339707
s79	3	1363273
e80	3	1363545
s81	3	1367444
e82	3	1367686
s83	3	1369083
e84	3	1369325
s85	3	1371421
e86	3	1371629
s87	3	1393949
e88	3	1394191
s89	3	1413948
e90	3	1414190
s91	3	1414458
e92	3	1414700
s93	3	1415244
e94	3	1415472
s95	3	1415560
e96	3	1415802
s97	3	1418621
e98	3	1418823
s99	3	1424615
e100	3	1424870
s101	3	1424912
e102	3	1425154
s103	3	1427235
e104	3	1427507
s105	3	1443059
e106	3	1443260
s107	3	1443963
e108	3	1444205
s109	3	1444950
e110	3	1445151
s111	3	2613085
e112	3	2613287
s113	3	2671134
e114	3	2671336
s115	3	2687052
e116	3	2687254
s117	3	2698970
e118	3	2699172
s119	3	2720797
e120	3	2720998
s121	3	2777558
e122	3	2777760
s123	3	2777839
e124	3	2778081
s125	3	2787171
e126	3	2787413
s127	3	2861115
e128	3	2861317
s129	3	2908412
e130	3	2908654
s131	3	2924778
e132	3	2924980
s133	3	2928693
e134	3	2928935
s135	3	2942314
e136	3	2942556
s137	3	2944502
e138	3	2944744
s139	3	2967265
e140	3	2967507
s141	3	3029970
e142	3	3030212
s143	3	3067751
e144	3	3067993
s145	3	3072476
e146	3	3072718
s147	3	3076242
e148	3	3076514
s149	3	3078815
e150	3	3079057
s151	3	3080534
e152	3	3080736
s153	3	3081710
e154	3	3081965
s155	3	3083949
e156	3	3084150
s157	3	3084601
e158	3	3084873
s159	3	3085231
e160	3	3085432
s161	3	3095452
e162	3	3095694
s163	3	3097752
e164	3	3097953
s165	3	3097962
e166	3	3098234
s167	3	3098268
e168	3	3098470
s169	3	3098550
e170	3	3098920
s171	3	3098973
e172	3	3099175
s173	3	3099358
e174	3	3099560
s175	3	3111834
e176	3	3112036
s177	3	3115349
e178	3	3115550
s179	3	3116405
e180	3	3116607
s181	3	3118145
e182	3	3118347
s183	3	3131831
e184	3	3132033
s185	3	3133854
e186	3	3134096
s187	3	3136903
e188	3	3137175
s189	3	3139525
e190	3	3139767
s191	3	3139775
e192	3	3140017
s193	3	3143322
e194	3	3143564
s195	3	3144309
e196	3	3144551
s197	3	3146525
e198	3	3146727
s199	3	3170676
e200	3	3170918
s201	3	3171535
e202	3	3171736
s203	3	3178283
e204	3	3178484
s205	3	3178888
e206	3	3179160
s207	3	3182140
e208	3	3182382
s209	3	3186208
e210	3	3186450
s211	3	3188088
e212	3	3188330
s213	3	3189078
e214	3	3189440
s215	3	3189531
e216	3	3189893
s217	3	3192516
e218	3	3192758
s219	3	3194053
e220	3	3194325
s221	3	3195037
e222	3	3195239
s223	3	3195580
e224	3	3195822
s225	3	3196370
e226	3	3196572
s227	3	3197831
e228	3	3198033
s229	3	3209275
e230	3	3209517
s231	3	3214412
e232	3	3214654
s233	3	3215721
e234	3	3215963
s235	3	3216799
e236	3	3217000
s237	3	3221235
e238	3	3221437
s239	3	3841034
e240	3	3841235
s241	3	3869046
e242	3	3869248
s243	3	3886315
e244	3	3889388
s245	3	4110240
e246	3	4110441
s247	3	4344985
e248	3	4345220
s249	3	4345331
e250	3	4345775
s251	3	4354531
e252	3	4355533
s253	3	4355834
e254	3	4356036
s255	3	4357885
e256	3	4358940
s257	3	4402979
e258	3	4403376
s259	3	4403782
e260	3	4403983
s261	3	4417926
e262	3	4418128
s263	3	4452504
e264	3	4452706
s265	3	4458746
e266	3	4458988
s267	3	4459632
e268	3	4459874
s269	3	4461686
e270	3	4461888
s271	3	4490869
e272	3	4491071
s273	3	4494524
e274	3	4494766
s275	3	4508612
e276	3	4508974
s277	3	4534942
e278	3	4535237
s279	3	4558119
e280	3	4558321
s281	3	4562640
e282	3	4562842
s283	3	4669382
e284	3	4669624
s285	3	4681008
e286	3	4681210
s287	3	4683733
e288	3	4683975
s289	3	4685766
e290	3	4685968
s291	3	4687010
e292	3	4687212
s293	3	4687216
e294	3	4687458
s295	3	4693752
e296	3	4693954
s297	3	4695445
e298	3	4695647
s299	3	4699762
e300	3	4700004
s301	3	4702619
e302	3	4702821
s303	3	4703723
e304	3	4703965
s305	3	4704697
e306	3	4704939
s307	3	4706778
e308	3	4707020
s309	3	4709024
e310	3	4709266
s311	3	4711275
e312	3	4711517
s313	3	4712389
e314	3	4712631
s315	3	4714763
e316	3	4715125
