DTB-005	3	239611	48622928	8101	-0.2445
DTB-005	3	48624178	48624350	10	-1.2378
DTB-005	3	48625418	90264707	6037	-0.5755
DTB-005	3	90274781	90306326	8	-1.9801
DTB-005	3	93593288	160395091	10379	0.4322
DTB-005	3	160474521	167170670	297	-0.6333
DTB-005	3	167183209	188242361	3201	0.1717
DTB-005	3	188327650	197907571	1664	0.173
DTB-005	9	14994	177683	47	-0.4484
DTB-005	9	215894	46843724	4815	-0.2151
DTB-005	9	65507309	141109732	11932	0.0441
DTB_009_BL_T	3	239611	39184468	5237	0.319
DTB_009_BL_T	3	39185964	47136674	1903	0.3292
DTB_009_BL_T	3	47139627	47950467	408	0.297
DTB_009_BL_T	3	47953911	90306326	6500	0.2614
DTB_009_BL_T	3	93596045	195306118	14061	0.3475
DTB_009_BL_T	3	195346165	195346277	4	-1.054
DTB_009_BL_T	3	195346922	197896588	881	0.4106
DTB_009_BL_T	9	14994	17552	9	-0.8073
DTB_009_BL_T	9	30291	21367419	1972	0.369
DTB_009_BL_T	9	21368962	46844907	2692	0.2781
DTB_009_BL_T	9	65488424	86615863	1601	0.1883
DTB_009_BL_T	9	86618988	141109732	10163	0.3924
